Title,Synopsis,"Award Type","Next due date (Y-m-d)","Proposals accepted anytime","Program ID","NSF/PD Num",Status,"Posted date (Y-m-d)",URL,Type,"Solicitation URL"
"SII-NRDZ-SBE: Radio Spectrum Sharing - The Human Environment",,"supplemental, standard, continuing",,,,nsf23065,,2023-02-28,https://beta.nsf.gov/funding/opportunities/sii-nrdz-sbe-radio-spectrum-sharing-human,"Dear colleague letter",
"Centers of Research Excellence in Science and Technology HBCU Research Infrastructure for Science and Engineering (CREST HBCU-RISE)","The Centers of Research Excellence in Science and Technology (CREST) program provides support to enhance the research capabilities of minority-serving institutions (MSI) through the establishment of centers that effectively integrate education and research. CREST promotes the development of new knowledge, enhancements of the research productivity of individual faculty, and an expanded presence of students underrepresented in science, technology, engineering, and mathematics (STEM) disciplines.
The HBCU-RISE is a component of the CREST program that supports the expansion of institutional research capacity as well as the successful training of doctoral students, especially those from groups underrepresented in STEM at HBCUs. 
HBCU-RISE projects must have a unifying research focus in one of the research areas supported by NSF; a direct connection to the long-term plans of the host department(s) and the institution’s strategic plan and mission; and plans for expanding institutional research capacity as well as increasing the production of doctoral students, especially those underrepresented in STEM.","standard, continuing","2023-05-30, 2023-05-30",,506118,nsf23565,Cleared,2023-02-27,https://beta.nsf.gov/funding/opportunities/centers-research-excellence-science-technology-2,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506118&ods_key=nsf23565
"Synthesis Center for Understanding Organismal Resilience","Synthesis Centers are a mechanism used by NSF's Directorate for Biological Science (BIO) to bring together communities that leverage existing data to catalyze discoveries through synthesis, analysis, and integrative training.  Research supported by the Division of Integrative Organismal Systems (IOS) in BIO focuses on organisms as integrated units of biological organization, i.e., why they are structured as they are and function as they do.
IOS seeks to establish a new Synthesis Center to advance our ability to explain and predict organismal resiliency and plasticity in response to complex and dynamic environmental circumstances encountered over a lifespan through the synthesis of varied data sets and types that bridge multiple scales and levels.
The Synthesis Center will enable innovative synthesis and analysis of available biological and related data by providing the vision, infrastructure, and expertise to advance new avenues of inquiry in organismal biology focused on organismal resilience and plasticity. To accomplish this vision, the Synthesis Center will adopt approaches that are based on open science, team science, and data-intensive methods that enable data synthesis, sharing and inclusive collaborations among researchers across multiple levels of biological inquiry that may include genomic, physiological, structural, developmental, behavioral, neural, immunological, and microbiological analyses across some or all the IOS subdisciplines. In addition to supporting data and knowledge synthesis, the Synthesis Center should train new generations of researchers in solving challenging research problems through data-intensive, open, cross-disciplinary, and collaborative science. The Synthesis Center is also expected to serve as an example in effectively engaging diverse scientists from different types of institutions and across multiple disciplines. These types of data syntheses are expected to provide the basis for fundamental scientific discoveries and/or potentially translational, use-inspired research. In doing so, the Synthesis Center will have a profound impact on the progress of science and society.",coop,"2024-01-12, 2024-01-12",,506134,nsf23564,Cleared,2023-02-27,https://beta.nsf.gov/funding/opportunities/synthesis-center-understanding-organismal,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506134&ods_key=nsf23564
"Historically Black Colleges and Universities - Undergraduate Program (HBCU-UP)","HBCU-UP provides awards to strengthen STEM undergraduate education and research at Historically Black Colleges and Universities (HBCUs). Support is available through the following tracks: 
Targeted Infusion Projects (TIP), which provide support to achieve a short-term, well-defined goal for enhancing and innovating undergraduate STEM education at an HBCU.
Research on Broadening Participation in STEM projects (BPR), which provide support for research that seeks to create and study new theory-driven models and innovations related to the participation and success of underrepresented groups in STEM undergraduate education, especially African Americans. 
Research Initiation Awards (RIA), which provide support for STEM faculty with no prior or recent research funding to pursue research at the home institution, another research-intensive institution, an NSF-funded research center, or a national laboratory.
Implementation Projects (IMP), which provide support to design, implement, study, and assess comprehensive institutional efforts for increasing the number of students receiving undergraduate degrees in STEM and enhancing their preparation by strengthening STEM education and research. 
Broadening Participation Research Centers (BPRC), which provide support to create centers that conduct research on STEM education and broadening participation and build the intellectual infrastructure to facilitate the creation, integration, and transfer of new knowledge.
Other Funding Opportunities include EArly-Concept Grants for Exploratory Research (EAGER), Rapid Response Research (RAPID), conference, and planning grants.","standard, continuing","2023-07-25, 2023-07-25",,5481,nsf23563,Cleared,2023-02-27,https://beta.nsf.gov/funding/opportunities/historically-black-colleges-universities-1,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=5481&ods_key=nsf23563
"GEO EMpowering BRoader Academic Capacity and Education (GEO-EMBRACE)",,"standard, continuing",,,,nsf23058,,2023-02-27,https://beta.nsf.gov/funding/opportunities/geo-empowering-broader-academic-capacity-education,"Dear colleague letter",
"Safe Learning-Enabled Systems","As artificial intelligence (AI) systems rapidly increase in size, acquire new capabilities, and are deployed in high-stakes settings, their safety becomes extremely important. Ensuring system safety requires more than improving accuracy, efficiency, and scalability: it requires ensuring that systems are robust to extreme events, and monitoring them for anomalous and unsafe behavior.
The objective of the Safe Learning-Enabled Systems program, which is a partnership between the National Science Foundation, Open Philanthropy and Good Ventures, is to foster foundational research that leads to the design and implementation of learning-enabled systems in which safety is ensured with high levels of confidence. While traditional machine learning systems are evaluated pointwise with respect to a fixed test set, such static coverage provides only limited assurance when exposed to unprecedented conditions in high-stakes operating environments. Verifying that learning components of such systems achieve safety guarantees for all possible inputs may be difficult, if not impossible. Instead, a system’s safety guarantees will often need to be established with respect to systematically generated data from realistic (yet appropriately pessimistic) operating environments. Safety also requires resilience to “unknown unknowns”, which necessitates improved methods for monitoring for unexpected environmental hazards or anomalous system behaviors, including during deployment. In some instances, safety may further require new methods for reverse-engineering, inspecting, and interpreting the internal logic of learned models to identify unexpected behavior that could not be found by black-box testing alone, and methods for improving the performance by directly adapting the systems’ internal logic. Whatever the setting, any learning-enabled system’s end-to-end safety guarantees must be specified clearly and precisely. Any system claiming to satisfy a safety specification must provide rigorous evidence, through analysis corroborated empirically and/or with mathematical proof.  ",standard,"2023-05-26, 2023-05-26",,506150,nsf23562,Cleared,2023-02-23,https://beta.nsf.gov/funding/opportunities/safe-learning-enabled-systems,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=506150&ods_key=nsf23562
"Novel Approaches to Critical Minerals Research in the Geosciences (GEO-CM)",,"standard, continuing",,,,nsf23057,,2023-02-22,https://beta.nsf.gov/funding/opportunities/novel-approaches-critical-minerals-research,"Dear colleague letter",
"Growing Research Access for Nationally Transformative Equity and Diversity (GRANTED)","The National Science Foundation (NSF) seeks to encourage nationally transformative ideas and scalable models to strengthen the Nation’s research enterprise, particularly at emerging research and minority-serving institutions. Broadly defined, the research enterprise includes human capital, practices and processes related to research development, research administration, technology transfer and commercialization, corporate relation/public-private partnerships, research integrity, compliance and security, research policy, student research training, and research leadership.
In the past several decades, the complexity of managing externally funded activities has increased significantly. The recent pandemic has exacerbated this issue through increased attrition of research enterprise professionals and additional budget constraints. Insufficient resources hinder institutional ability to develop and manage externally funded projects, reducing the opportunity to fully realize the outcomes from creativity present in all the Nation’s institutions of higher education and their partners. Beginning in FY2023, GRANTED, a new NSF-wide initiative, will seek to address these issues.
At present, GRANTED is describing opportunities to submit proposals in a Dear Colleague Letter, NSF 23-037.",,,,506178,nsf23221Y,Cleared,2023-02-15,https://beta.nsf.gov/funding/opportunities/growing-research-access-nationally-transformative-0,Program,https://www.nsf.gov/publications/pub_summ.jsp?ods_key=pappg&WT.z_pims_id=505698
"Computer and Information Science and Engineering : Core Programs","The NSF CISE Directorate supports research and education projects that develop new knowledge in all aspects of computing, communications, and information science and engineering, as well as advanced cyberinfrastructure, through the following core programs:
Division of Computing and Communication Foundations (CCF):
Algorithmic Foundations (AF) program;
Communications and Information Foundations (CIF) program;
Foundations of Emerging Technologies (FET) program; and
Software and Hardware Foundations (SHF) program.
Division of Computer and Network Systems (CNS):
Computer Systems Research (CSR) program; and
Networking Technology and Systems (NeTS) program.
Division of Information and Intelligent Systems (IIS):
Human-Centered Computing (HCC) program;
Information Integration and Informatics (III) program; and
Robust Intelligence (RI) program.
Office of Advanced Cyberinfrastructure (OAC):
OAC Core Research (OAC Core) program;
 
Proposers are invited to submit proposals in several project classes, which are defined as follows:
Small Projects -- up to $600,000 total budget with durations up to three years: projects in this class may be submitted to CCF, CNS, and IIS only;
Medium Projects -- $600,001 to $1,200,000 total budget with durations up to four years: projects in this class may be submitted to CCF, CNS, and IIS only; and
OAC Core Projects -- up to $600,000 total budget with durations up to three years: projects in this class may be submitted to OAC only.
A more complete description of these project classes can be found in Section II. Program Description of this document.
 ","standard, continuing","2023-09-30, 2023-09-30",,505667,nsf23561,Cleared,2023-02-15,https://beta.nsf.gov/funding/opportunities/computer-information-science-engineering-core,Program,https://www.nsf.gov/publications/pub_summ.jsp?WT.z_pims_id=505667&ods_key=nsf23561
"Bioinspired Design Collaborations to Accelerate the Discovery-Translation Process (BioDesign)",,"supplemental, standard, continuing",,,,nsf23055,,2023-02-15,https://beta.nsf.gov/funding/opportunities/bioinspired-design-collaborations-accelerate,"Dear colleague letter",
